	OPERATORE	ID IMPIANTO	TIPO	UBICAZIONE	PROV	ALTITUDINE	CANALE	BOUQUET	ERP MAX H	ERP MAX V	FREQ. CENTRALE/PORTANTE	MUNICIPIO	geometry
10	ELEMEDIA S.P.A.	CNF142476	FM	RADIO CAPITAL - SAN GALDINO - MILANO	MI	126		RADIO CAPITAL		30.0	90,3	8	POINT (9.1677777778 45.4875)
11	ELEMEDIA S.P.A.	CNF142492	FM	RADIO DEEJAY - Via S.Galdino 5 - MILANO	MI	126		RADIO DEEJAY		51.0	99,7	8	POINT (9.1677777778 45.4875)
12	PRIVERNO S.A.S. DI BESSI LORIANO & C.	CNF142825	FM	RADIO CUORE 1 - VIA SAPONARO 35 - MILANO	MI	108		RADIO CUORE 1		36.0	101,7	5	POINT (9.1772222222 45.4166666667)
13	IL SOLE 24 ORE S.P.A.	CNF143125	FM	RADIO 24 IL SOLE 24 ORE - VIA TRAIANO 54 - MILANO	MI	130		RADIO 24 IL SOLE 24 ORE			105,0	8	POINT (9.1483333333 45.4888888889)
14	RITZLAND RECORDS S.R.L	CNF144509	FM	DISCORADIO - Via Turati - Milano	MI	122		DISCORADIO		39.0	96,4	1	POINT (9.1955555556 45.4775)
15	RMC 2 S.R.L.	CNF144519	FM	MC 2 NORD - TORRE VELASCA - MILANO	MI	117		MC 2 NORD		40.0	95,9	1	POINT (9.1905555556 45.4597222222)
16	RADIO ITALIA S.P.A.	CNF145246	FM	RADIO ITALIA SOLO MUSICA ITALIANA - VIA CASATI 45 - PALAZZO BREDA - MILANO	MI	119		RADIO ITALIA SOLO MUSICA ITALIANA			98,4	2	POINT (9.2 45.4802777778)
17	RADIO ITALIA S.P.A.	CNF145247	FM	RADIO ITALIA SOLO MUSICA ITALIANA - VIA VALDEVERO - MILANO	MI	120		RADIO ITALIA SOLO MUSICA ITALIANA		44.0	106,5	7	POINT (9.1111111111 45.4586111111)
18	ITALIAN INTERNATIONAL RADIO AND MEDIA S.R.L.	CNF145561	FM	RADIO WE 1 - VIA SAN GALDINO 5 - MILANO	MI	122		RADIO WE 1		47.0	89,8	8	POINT (9.1672222222 45.4866666667)
19	CENTRO DI PRODUZIONE SOCIETA' PER AZIONI O, NELLA FORMA ABBREVIATA, CENTRO DI PRODUZIONE - S.P.A.	CNF145885	FM	RADIO RADICALE ORGANO LISTA MARCO PANNELLA - PIAZZA VELASCA - Milano	MI	117		RADIO RADICALE ORGANO LISTA MARCO PANNELLA		34.0	87,9	1	POINT (9.1905555556 45.46)
20	RADIO ONDA D'URTO ASSOCIAZIONE CULTURALE	CNF147551	FM	RADIO ONDA D'URTO - VIA SAPONARO - MILANO	MI	108		RADIO ONDA D'URTO		159.0	98,0	5	POINT (9.1736111111 45.4075)
21	RADIO ZETA S.R.L.	CNF147735	FM	Radio Zeta L'Italiana 5 - Via Felice Casati 45 - Grattacielo Breda - Milano	MI	121		Radio Zeta L'Italiana 5		33.0	92,2	2	POINT (9.1994444444 45.4802777778)
22	UPGRADE SRL IN LIQUIDAZIONE	CNF148139	FM	RADIO PLANET FM - VIA LEGNONE 46 - MILANO	MI	120		RADIO PLANET FM		45.0	89,0	9	POINT (9.1911111111 45.4972222222)
23	RADIO DIMENSIONE SUONO - SOCIETA' PER AZIONI	CNF148205	FM	RDS - Piazza Missori - Milano	MI	119		RDS		40.0	94,4	1	POINT (9.1911111111 45.4591666667)
24	RADIO MARIA APS	CNF148845	FM	RADIO MARIA - VIA S. GALDINO - MILANO	MI	122		RADIO MARIA		46.0	89,0	8	POINT (9.1666666667 45.4888888889)
25	RADIO STUDIO 105 S.P.A.	CNF150162	FM	RADIO STUDIO 105 - RETE 105 - VIA CASATI GRATTACIELO BREDA - MILANO	MI	122		RADIO STUDIO 105 - RETE 105			99,1	2	POINT (9.1994444444 45.4802777778)
26	RADIO SUBASIO S.R.L.	CNF150701	FM	RADIO SUBASIO - VIA VALENZA 5 - MILANO	MI	198		RADIO SUBASIO			87,6	5	POINT (9.1894444444 45.4322222222)
